%time,field.header.seq,field.header.stamp,field.header.frame_id,field.waypoint,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.acc,field.vel,field.totaltime,field.round
1454587895891050931,131,1454587895890788380,,131,2.23492460295,-1.54595463688,0.00701951197153,-2.37461515769,-1.56914683999,0.460794383954,3.0,0.75,0.008,0.0
1454587895899076436,132,1454587895898838988,,132,2.23492247274,-1.54588465255,0.00686938118425,-2.37371034751,-1.56915923713,0.460805235936,3.0,0.75,0.008,0.0
1454587895907102323,133,1454587895906862439,,133,2.2349176595,-1.54580454656,0.00667081100165,-2.37250140249,-1.56917553782,0.460821065156,3.0,0.75,0.008,0.0
1454587895915195600,134,1454587895914984206,,134,2.23491060114,-1.54573952219,0.00647421140744,-2.37128993028,-1.56919158822,0.46083843355,3.0,0.75,0.008,0.0
1454587895923267512,135,1454587895923035336,,135,2.23490130954,-1.5456895563,0.00627972240044,-2.37007632784,-1.56920740039,0.460857323978,3.0,0.75,0.008,0.0
1454587895931328159,136,1454587895931075746,,136,2.23488979793,-1.54565461459,0.00608747399637,-2.3688609899,-1.56922298618,0.460877718495,3.0,0.75,0.008,0.0
1454587895939417772,137,1454587895939142346,,137,2.23487608088,-1.54563465184,0.00589758659621,-2.36764430909,-1.56923835719,0.460899598382,3.0,0.75,0.008,0.0
1454587895947481631,138,1454587895947267667,,138,2.23486017426,-1.54562961213,0.00571017134864,-2.36642667602,-1.5692535248,0.460922944164,3.0,0.75,0.008,0.0
1454587895955531543,139,1454587895955314141,,139,2.23484209521,-1.545639429,0.0055253305064,-2.36520847943,-1.56926850013,0.460947735635,3.0,0.75,0.008,0.0
1454587895963662432,140,1454587895963410410,,140,2.23482712129,-1.54565649554,0.00538844601019,-2.36429469499,-1.569279612,0.46096726542,3.0,0.75,0.008,0.0
1454587895971631783,141,1454587895971398058,,141,2.23480528553,-1.54569212083,0.00520833091135,-2.3630764422,-1.56929427684,0.46099453612,3.0,0.75,0.008,0.0
1454587895979823116,142,1454587895979539531,,142,2.23478133091,-1.54574236772,0.00503102837445,-2.36185868578,-1.56930877865,0.461023193375,3.0,0.75,0.008,0.0
1454587895987913311,143,1454587895987638822,,143,2.23475527919,-1.54580713239,0.00485661035139,-2.36064180808,-1.56932312754,0.46105321445,3.0,0.75,0.008,0.0
1454587895995975206,144,1454587895995665024,,144,2.23472715325,-1.54588630161,0.00468514149713,-2.35942618989,-1.56933733334,0.461084575992,3.0,0.75,0.008,0.0
1454587896003862450,145,1454587896003647694,,145,2.23469697714,-1.54597975289,0.00451667948519,-2.3582122105,-1.56935140557,0.461117254051,3.0,0.75,0.008,0.0
